Cat,Category,FGA,%total FGAs,eFG%,% Shots at rim,FG% at rim,% Shots 2pt Jumpers,FG% 2pt Jumpers,% Shots 3pt,FG% 3pt,Year
D-1,5 Seconds Left in Shot Clock,173.3594203,9.89%,42.07%,22.79%,53.24%,40.26%,31.93%,36.95%,30.71%,1/1/12
Offense,5 Seconds Left in Shot Clock,161,8.90%,41.90%,23.00%,45.90%,45.30%,34.20%,31.70%,33.30%,1/1/12
Defense,5 Seconds Left in Shot Clock,216,11.00%,32.40%,14.80%,53.10%,48.60%,24.80%,36.60%,22.80%,1/1/12
D-1,Non-Transition,1411.994203,79.52%,47.72%,31.45%,58.46%,35.97%,34.97%,32.58%,34.23%,1/1/12
Offense,Non-Transition,1457,80.40%,49.60%,27.00%,64.10%,37.10%,32.20%,35.90%,37.90%,1/1/12
Defense,Non-Transition,1651,83.90%,43.90%,26.00%,63.70%,44.50%,32.70%,29.50%,29.00%,1/1/12
D-1,Putbacks,103.9797101,5.79%,57.41%,75.71%,63.42%,22.80%,36.39%,1.49%,35.51%,1/1/12
Offense,Putbacks,85,4.70%,57.60%,67.10%,71.90%,32.90%,28.60%,0.00%,---,1/1/12
Defense,Putbacks,118,6.00%,59.30%,57.60%,76.50%,37.30%,34.10%,5.10%,33.30%,1/1/12
D-1,Transition,367.2550725,20.48%,54.97%,44.90%,65.98%,20.73%,36.47%,34.37%,34.23%,1/1/12
Offense,Transition,356,19.60%,56.50%,34.30%,64.80%,20.80%,43.20%,44.90%,37.50%,1/1/12
Defense,Transition,317,16.10%,50.00%,40.40%,65.60%,25.20%,38.80%,34.40%,26.60%,1/1/12
D-1,5 Seconds Left in Shot Clock,179.50,10.22%,41.03%,23.03%,52.28%,40.27%,31.32%,36.70%,29.73%,1/1/13
Offense,5 Seconds Left in Shot Clock,128,6.60%,44.10%,15.60%,55.00%,40.60%,32.70%,43.80%,33.90%,1/1/13
Defense,5 Seconds Left in Shot Clock,230,12.00%,43.90%,17.00%,53.80%,45.70%,33.30%,37.40%,34.90%,1/1/13
D-1,Non-Transition,1411.13,79.29%,47.34%,31.37%,57.94%,35.92%,34.81%,32.71%,33.86%,1/1/13
Offense,Non-Transition,1512,78.20%,52.10%,27.50%,70.70%,35.20%,32.00%,37.30%,38.30%,1/1/13
Defense,Non-Transition,1586,83.10%,46.00%,21.90%,59.40%,47.40%,34.90%,30.80%,35.70%,1/1/13
D-1,Putbacks,102.74,5.72%,57.52%,75.87%,63.38%,22.52%,37.49%,1.61%,35.12%,1/1/13
Offense,Putbacks,127,6.60%,56.70%,55.10%,75.70%,44.90%,33.30%,0.00%,---,1/1/13
Defense,Putbacks,104,5.40%,49.50%,51.90%,61.10%,46.20%,35.40%,1.90%,50.00%,1/1/13
D-1,Transition,372.58,20.71%,54.58%,45.02%,65.53%,21.04%,36.61%,33.94%,33.83%,1/1/13
Offense,Transition,421,21.80%,53.80%,38.50%,73.50%,23.30%,28.60%,38.20%,32.90%,1/1/13
Defense,Transition,323,16.90%,49.70%,30.70%,63.60%,38.10%,34.10%,31.30%,36.60%,1/1/13
Offense,5 Seconds Left in Shot Clock,143,6.70%,42.00%,23.10%,63.60%,45.50%,27.70%,31.50%,31.10%,1/1/14
D-1,5 Seconds Left in Shot Clock,174.5242165,9.80%,42.63%,25.46%,51.99%,37.13%,32.53%,37.41%,30.83%,1/1/14
Defense,5 Seconds Left in Shot Clock,276,13.50%,35.30%,17.80%,46.90%,51.80%,32.20%,30.40%,22.60%,1/1/14
Offense,Non-Transition,1659,78.10%,50.00%,30.70%,68.00%,43.50%,34.30%,25.70%,36.50%,1/1/14
D-1,Non-Transition,1415.754986,78.71%,48.48%,34.01%,57.73%,33.04%,35.68%,32.95%,34.51%,1/1/14
Defense,Non-Transition,1703,83.40%,40.50%,23.00%,52.70%,51.70%,31.40%,25.30%,32.00%,1/1/14
Offense,Putbacks,155,7.30%,51.90%,59.40%,69.60%,40.00%,24.20%,0.60%,100.00%,1/1/14
D-1,Putbacks,102.991453,5.67%,58.26%,78.34%,63.48%,20.12%,38.69%,1.54%,33.13%,1/1/14
Defense,Putbacks,97,4.80%,43.30%,56.70%,63.60%,42.30%,17.10%,1.00%,0.00%,1/1/14
Offense,Transition,464,21.90%,58.00%,42.20%,79.10%,28.90%,31.30%,28.90%,35.80%,1/1/14
D-1,Transition,386.1623932,21.29%,55.08%,48.94%,64.04%,18.20%,36.91%,32.85%,34.20%,1/1/14
Defense,Transition,338,16.60%,51.00%,33.40%,69.00%,34.00%,36.50%,32.50%,31.80%,1/1/14
Offense,5 Seconds Left in Shot Clock,146,7.10%,39.40%,20.50%,63.30%,48.60%,31.00%,30.80%,24.40%,1/1/15
D-1,5 Seconds Left in Shot Clock,186.60,10.75%,42.54%,24.79%,51.22%,36.70%,32.08%,38.51%,31.30%,1/1/15
Defense,5 Seconds Left in Shot Clock,264,13.50%,43.80%,19.70%,71.20%,43.60%,30.40%,36.70%,29.90%,1/1/15
Offense,Non-Transition,1632,78.90%,52.30%,32.50%,62.30%,42.20%,42.20%,25.30%,37.50%,1/1/15
D-1,Non-Transition,1395.28,79.57%,47.93%,32.76%,56.69%,33.09%,35.42%,34.15%,34.39%,1/1/15
Defense,Non-Transition,1628,83.50%,44.20%,25.40%,56.70%,44.60%,32.40%,30.00%,34.20%,1/1/15
Offense,Putbacks,144,7.00%,59.70%,76.40%,61.80%,22.20%,56.20%,1.40%,0.00%,1/1/15
D-1,Putbacks,95.19,5.37%,57.57%,78.34%,62.66%,20.13%,38.69%,1.54%,34.62%,1/1/15
Defense,Putbacks,66,3.40%,53.80%,80.30%,60.40%,13.60%,22.20%,6.10%,25.00%,1/1/15
Offense,Transition,436,21.10%,57.80%,44.00%,71.90%,27.80%,47.10%,28.20%,30.90%,1/1/15
D-1,Transition,361.18,20.43%,54.77%,47.45%,63.97%,18.20%,36.50%,34.34%,34.17%,1/1/15
Defense,Transition,322,16.50%,49.80%,29.20%,63.80%,32.00%,40.80%,38.80%,31.20%,1/1/15
Offense,5 Seconds Left in Shot Clock,307,15.60%,52.90%,24.40%,69.30%,37.50%,37.40%,38.10%,38.50%,1/1/16
D-1,5 Seconds Left in Shot Clock,300.52,16.26%,44.07%,26.05%,52.58%,35.53%,33.26%,38.42%,32.27%,1/1/16
