Year,Category,Win Loss Record,Adjusted Efficiency,Tempo,Possession Length,Effective FG%,Turnover %,Offensive Reb,FTA/FGA,3P%,2P%,FT%,Block%,Steal%,3PA/FGA,A /FGM,3P Dist,2P Dist,FT Dist,SOS,Overall SOS,Non-Conference SOS,Bench Minutes Dist,Experience (Years),Continuity,Avg Height,
1/1/10,Offense,16-15,104.50,70.40,17.40,50.10%,20.20%,29.30%,44.30%,35.80%,48.40%,73.30%,9.50%,8.30%,32.20%,51.50%,26.10%,49.40%,24.50%,104.00,8.73,8.82,27.90%,1.00,42.90%,75.60,
1/1/10,Defense,16-15,96.00,70.40,17.50,48.70%,18.30%,31.20%,38.30%,31.40%,49.50%,69.50%,6.40%,8.50%,31.90%,50.20%,24.20%,54.40%,21.50%,95.30,8.73,8.82,27.90%,1.00,42.90%,75.60,
1/1/10,D-1,,100.80,67.30,17.80,48.80%,20.40%,32.70%,37.70%,34.20%,47.70%,68.90%,9.20%,9.80%,32.60%,53.50%,27.10%,52.00%,21.00%,100.80,0.00,0.00,31.00%,1.70,53.00%,76.50,
1/1/11,Offense,30-8,113.40,68.50,18.40,54.10%,18.80%,33.70%,43.60%,39.70%,51.00%,74.60%,9.80%,8.70%,36.10%,55.30%,30.60%,46.30%,23.10%,104.50,8.08,2.27,36.20%,1.39,74.10%,77.20,
1/1/11,Defense,30-8,94.10,68.50,17.40,48.60%,18.60%,29.20%,36.60%,29.30%,50.40%,67.80%,6.50%,7.60%,28.30%,52.80%,20.30%,59.30%,20.30%,96.40,8.08,2.27,36.20%,1.39,74.10%,77.20,
1/1/11,D-1,,101.30,66.70,17.90,49.10%,20.10%,32.30%,37.70%,34.40%,47.80%,69.30%,9.20%,9.40%,32.90%,53.70%,27.40%,51.60%,21.00%,101.30,0.00,0.00,30.70%,1.73,51.80%,76.50,
1/1/12,Offense,23-12,104.80,66.20,17.60,51.00%,19.00%,30.50%,44.50%,37.80%,47.60%,70.50%,9.60%,8.60%,37.70%,59.50%,32.00%,44.50%,23.50%,103.90,4.67,3.51,28.20%,1.71,54.70%,76.70,
1/1/12,Defense,23-12,92.10,66.20,18.90,44.90%,18.10%,29.80%,32.70%,28.50%,45.80%,66.60%,8.90%,8.50%,30.30%,50.40%,23.20%,57.30%,19.50%,99.20,4.67,3.51,28.20%,1.71,54.70%,76.70,
1/1/12,D-1,,100.80,66.10,18.10,49.00%,20.20%,32.10%,36.40%,34.30%,47.80%,69.20%,9.20%,9.60%,32.90%,53.60%,27.50%,52.00%,20.40%,100.80,0.00,0.00,30.40%,1.66,48.60%,76.50,
1/1/13,Offense,27-8,113.50,66.70,16.90,52.50%,19.50%,35.00%,37.40%,37.10%,50.60%,74.90%,9.30%,9.20%,37.50%,54.10%,31.40%,47.50%,21.10%,105.50,8.69,3.78,28.70%,1.64,44.10%,78.10,
1/1/13,Defense,27-8,91.70,66.70,18.80,46.60%,19.80%,26.70%,32.90%,35.80%,43.40%,71.10%,10.20%,10.00%,30.90%,49.20%,28.40%,51.50%,20.10%,96.80,8.69,3.78,28.70%,1.64,44.10%,78.10,
1/1/13,D-1,,100.40,65.90,18.10,48.60%,20.00%,31.80%,35.90%,33.90%,47.50%,69.40%,9.30%,9.90%,33.00%,53.60%,27.50%,52.10%,20.40%,100.40,0.00,0.00,30.60%,1.70,50.30%,76.60,
1/1/14,Offense,33-5,115.90,64.40,17.60,51.70%,15.70%,36.40%,41.00%,36.40%,50.70%,65.90%,7.60%,7.20%,26.40%,57.60%,22.10%,57.20%,20.70%,110.00,10.38,5.62,24.50%,1.07,37.80%,77.80,
1/1/14,Defense,33-5,85.80,64.40,19.90,42.30%,19.10%,27.30%,34.20%,32.00%,40.20%,71.60%,11.50%,9.00%,26.50%,44.70%,23.30%,54.20%,22.50%,99.60,10.38,5.62,24.50%,1.07,37.80%,77.80,
1/1/14,D-1,,104.30,66.40,18.00,49.60%,18.30%,31.40%,40.50%,34.50%,48.50%,69.90%,9.70%,9.00%,32.90%,51.80%,26.70%,51.10%,22.20%,104.30,0.00,0.00,30.30%,1.73,51.40%,76.70,
1/1/15,Offense,34-4,117.90,66.00,16.70,53.50%,16.50%,34.50%,47.10%,36.00%,53.30%,71.90%,6.30%,7.10%,25.90%,52.30%,19.90%,56.10%,24.00%,107.10,8.04,2.49,29.40%,1.48,63.40%,77.90,
1/1/15,Defense,34-4,85.50,66.00,19.10,45.10%,20.60%,22.40%,37.30%,33.50%,42.70%,69.80%,9.80%,10.80%,31.50%,47.60%,27.20%,50.40%,22.40%,99.10,8.04,2.49,29.40%,1.48,63.40%,77.90,
1/1/15,D-1,,102.00,64.80,18.40,49.00%,19.10%,31.10%,37.00%,34.30%,47.80%,69.30%,9.60%,9.40%,34.20%,53.10%,28.50%,50.80%,20.70%,102.00,0.00,0.00,32.10%,1.67,49.40%,76.70,
1/1/16,Offense,25-9,115.70,69.50,17.10,53.60%,18.20%,35.00%,43.80%,38.10%,52.20%,72.10%,8.40%,7.70%,29.40%,51.30%,24.20%,54.00%,22.70%,107.80,7.81,0.13,36.00%,2.02,32.40%,78.30,
1/1/16,Defense,25-9,94.70,69.50,17.10,46.20%,16.00%,24.90%,29.30%,31.60%,45.70%,71.30%,11.30%,6.80%,31.30%,48.30%,26.10%,55.40%,18.40%,100.00,7.81,0.13,36.00%,2.02,32.40%,78.30,
